Distribuição dos casos notificados e confirmados (autóctones e importados ) de dengue segundo município de residência, por mês de início de sintomas,ESP, 2025;;;;;;;;;;;;;;;;;;;
;;;;;;;Janeiro ;;;Fevereiro;;;Março;;;total;;;
DRS;DRS NOME;GVE;GVE NOME;COD_RS_2024;NOME_RS_2024;MUN-RES;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;
;;;;;;;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;
;;;;;;;;;;;;;;;;;;;
9;MARÍLIA;19;MARILIA;35095;TUPÃ;350335 Arco-Íris;16;6;0;33;24;0;20;14;0;69;44;0;
6;BAURU;15;BAURU;35062;BAURU;350340 Arealva;22;0;0;38;1;2;32;4;2;92;5;4;
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350350 Areias;0;0;0;1;0;0;6;1;0;7;1;0;
6;BAURU;16;BOTUCATU;35063;POLO CUESTA;350360 Areiópolis;56;14;0;117;11;1;125;14;0;298;39;1;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;350370 Ariranha;62;21;0;107;54;0;179;75;0;348;150;0;
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;350380 Artur Nogueira;187;72;0;593;241;1;1.269;655;3;2.049;968;4;
1;GRANDE SÃO PAULO;8;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;350390 Arujá;46;4;0;108;8;0;114;12;1;268;24;1;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35153;JALES;350395 Aspásia;283;216;3;58;50;0;26;7;0;367;273;3;
9;MARÍLIA;13;ASSIS;35092;ASSIS;350400 Assis;548;486;14;1.386;1.258;17;3.056;2.864;30;4.990;4.608;61;
7;CAMPINAS;17;CAMPINAS;35071;BRAGANÇA;350410 Atibaia;255;162;0;526;326;1;300;186;1;1.081;674;2;
2;ARAÇATUBA;11;ARACATUBA;35021;CENTRAL DO DRS II;350420 Auriflama;286;239;3;180;165;2;82;67;2;548;471;7;
6;BAURU;15;BAURU;35062;BAURU;350430 Avaí;4;2;0;12;6;0;12;1;0;28;9;0;
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;350440 Avanhandava;32;24;0;113;77;1;150;136;1;295;237;2;
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;350450 Avaré;75;39;0;333;118;0;1.146;738;2;1.554;895;2;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;350460 Bady Bassitt;1.283;667;8;1.058;583;5;560;247;2;2.901;1.497;15;
6;BAURU;15;BAURU;35062;BAURU;350470 Balbinos;0;0;0;4;1;2;34;8;0;38;9;2;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;350480 Bálsamo;276;139;0;237;166;1;262;205;0;775;510;1;
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350490 Bananal;0;0;0;55;35;0;83;22;0;138;57;0;
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;350500 Barão de Antonina;4;0;0;9;1;2;89;59;2;102;60;4;
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;350510 Barbosa;222;79;0;148;27;0;69;8;0;439;114;0;
6;BAURU;15;BAURU;35064;JAU;350520 Bariri;25;6;0;56;22;0;96;82;1;177;110;1;
6;BAURU;15;BAURU;35064;JAU;350530 Barra Bonita;59;8;2;121;14;7;269;57;20;449;79;29;
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;350535 Barra do Chapéu;7;0;0;22;0;0;4;0;0;33;0;0;
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;350540 Barra do Turvo;0;0;0;5;0;0;3;1;0;8;1;0;
5;BARRETOS;14;BARRETOS;35051;NORTE-BARRETOS;350550 Barretos;683;256;3;1.289;695;3;1.901;1.094;0;3.873;2.045;6;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35131;HORIZONTE VERDE;350560 Barrinha;362;21;1;477;116;1;450;105;1;1.289;242;3;
1;GRANDE SÃO PAULO;10;OSASCO;35014;ROTA DOS BANDEIRANTES;350570 Barueri;245;34;1;702;121;0;1.572;205;2;2.519;360;3;
9;MARÍLIA;19;MARILIA;35095;TUPÃ;350580 Bastos;72;16;2;151;32;0;65;21;0;288;69;2;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35133;VALE DAS CACHOEIRAS;350590 Batatais;403;68;1;806;204;0;753;347;1;1.962;619;2;
6;BAURU;15;BAURU;35062;BAURU;350600 Bauru;1.721;630;4;3.056;2.056;1;5.599;3.570;0;10.376;6.256;5;
5;BARRETOS;14;BARRETOS;35052;SUL-BARRETOS;350610 Bebedouro;386;38;1;377;23;1;394;32;4;1.157;93;6;
2;ARAÇATUBA;11;ARACATUBA;35021;CENTRAL DO DRS II;350620 Bento de Abreu;122;111;2;136;125;1;60;50;1;318;286;4;
9;MARÍLIA;13;ASSIS;35094;OURINHOS;350630 Bernardino de Campos;54;24;0;75;73;0;210;208;0;339;305;0;
4;BAIXADA SANTISTA;25;SANTOS;35041;BAIXADA SANTISTA;350635 Bertioga;24;2;0;43;5;0;36;8;0;103;15;0;
2;ARAÇATUBA;11;ARACATUBA;35021;CENTRAL DO DRS II;350640 Bilac;458;330;6;106;55;0;35;5;0;599;390;6;
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;350650 Birigui;1.933;1.441;18;2.894;2.389;7;2.635;2.065;18;7.462;5.895;43;
1;GRANDE SÃO PAULO;8;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;350660 Biritiba Mirim;34;8;4;60;14;3;101;41;1;195;63;8;
3;ARARAQUARA;12;ARARAQUARA;35031;CENTRAL DO DRS III;350670 Boa Esperança do Sul;63;15;0;159;41;0;546;255;1;768;311;1;
6;BAURU;15;BAURU;35064;JAU;350680 Bocaina;22;4;2;25;4;0;34;17;3;81;25;5;
6;BAURU;16;BOTUCATU;35063;POLO CUESTA;350690 Bofete;45;0;2;154;24;0;291;34;1;490;58;3;
16;SOROCABA;31;SOROCABA;35163;SOROCABA;350700 Boituva;103;29;2;364;120;1;1.052;421;1;1.519;570;4;
7;CAMPINAS;17;CAMPINAS;35071;BRAGANÇA;350710 Bom Jesus dos Perdões;24;5;0;66;8;0;50;8;0;140;21;0;
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;350715 Bom Sucesso de Itararé;0;0;0;2;0;0;11;0;3;13;0;3;
9;MARÍLIA;13;ASSIS;35092;ASSIS;350720 Borá;3;0;0;6;0;1;8;2;0;17;2;1;
6;BAURU;15;BAURU;35064;JAU;350730 Boracéia;4;3;0;4;3;0;17;6;1;25;12;1;
3;ARARAQUARA;12;ARARAQUARA;35033;NOROESTE DRS III;350740 Borborema;112;69;0;292;176;4;612;361;4;1.016;606;8;
6;BAURU;15;BAURU;35062;BAURU;350745 Borebi;18;1;1;25;1;0;38;1;2;81;3;3;
6;BAURU;16;BOTUCATU;35063;POLO CUESTA;350750 Botucatu;263;71;13;586;110;12;1.063;398;18;1.912;579;43;
7;CAMPINAS;17;CAMPINAS;35071;BRAGANÇA;350760 Bragança Paulista;169;30;2;294;69;0;342;47;11;805;146;13;
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;350770 Braúna;12;10;1;5;3;0;12;8;0;29;21;1;
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;350775 Brejo Alegre;61;17;5;115;24;2;87;4;0;263;45;7;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35133;VALE DAS CACHOEIRAS;350780 Brodowski;48;14;1;100;28;0;101;43;0;249;85;1;
6;BAURU;15;BAURU;35064;JAU;350790 Brotas;56;22;1;117;30;1;229;124;3;402;176;5;
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;350800 Buri;31;10;0;162;35;1;329;88;2;522;133;3;
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;350810 Buritama;413;328;1;464;430;1;261;246;0;1.138;1.004;2;
8;FRANCA;18;FRANCA;35083;ALTA MOGIANA;350820 Buritizal;8;1;0;7;2;0;6;0;0;21;3;0;
6;BAURU;15;BAURU;35062;BAURU;350830 Cabrália Paulista;21;12;0;54;33;0;188;130;1;263;175;1;
7;CAMPINAS;17;CAMPINAS;35073;JUNDIAÍ;350840 Cabreúva;29;14;0;192;103;0;638;514;6;859;631;6;
17;TAUBATÉ;27;SAO JOSE DOS CAMPOS;35171;ALTO VALE DO PARAÍBA;350850 Caçapava;274;15;1;474;60;0;770;150;3;1.518;225;4;
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350860 Cachoeira Paulista;39;2;0;48;2;0;87;6;0;174;10;0;
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35143;RIO PARDO;350870 Caconde;50;13;0;145;47;0;188;89;0;383;149;0;
6;BAURU;15;BAURU;35065;LINS;350880 Cafelândia;51;23;0;53;23;1;39;10;0;143;56;1;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350890 Caiabu;6;0;0;21;1;0;51;19;2;78;20;2;
1;GRANDE SÃO PAULO;9;FRANCO DA ROCHA;35012;FRANCO DA ROCHA;350900 Caieiras;26;10;1;255;116;0;400;154;1;681;280;2;
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35114;EXTREMO OESTE PAULISTA;350910 Caiuá;6;2;0;10;1;0;6;2;0;22;5;0;
1;GRANDE SÃO PAULO;9;FRANCO DA ROCHA;35012;FRANCO DA ROCHA;350920 Cajamar;97;7;1;182;13;3;293;22;3;572;42;7;
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;350925 Cajati;3;0;0;17;12;0;170;160;3;190;172;3;
5;BARRETOS;14;BARRETOS;35051;NORTE-BARRETOS;350930 Cajobi;30;16;0;63;32;0;101;62;1;194;110;1;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35133;VALE DAS CACHOEIRAS;350940 Cajuru;110;104;0;220;213;1;240;222;0;570;539;1;
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;350945 Campina do Monte Alegre;5;4;0;12;2;2;54;14;3;71;20;5;
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;350950 Campinas;3.209;1.926;5;6.403;4.698;4;14.931;11.661;5;24.543;18.285;14;
7;CAMPINAS;17;CAMPINAS;35073;JUNDIAÍ;350960 Campo Limpo Paulista;90;21;1;153;39;0;361;87;0;604;147;1;
17;TAUBATÉ;33;TAUBATE;35174;V. PARAÍBA-REG. SERRANA;350970 Campos do Jordão;23;0;3;34;0;5;28;0;2;85;0;10;
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;350980 Campos Novos Paulista;441;343;0;248;177;0;173;107;0;862;627;0;
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;350990 Cananéia;11;1;0;26;1;0;31;6;0;68;8;0;
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350995 Canas;4;0;0;8;0;2;5;1;0;17;1;2;
9;MARÍLIA;13;ASSIS;35092;ASSIS;351000 Cândido Mota;751;548;16;1.689;1.222;15;1.900;870;4;4.340;2.640;35;
3;ARARAQUARA;12;ARARAQUARA;35033;NOROESTE DRS III;351010 Cândido Rodrigues;20;12;3;35;22;2;53;41;1;108;75;6;
9;MARÍLIA;13;ASSIS;35094;OURINHOS;351015 Canitar;22;5;0;117;31;1;329;115;3;468;151;4;
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;351020 Capão Bonito;27;4;0;115;5;5;124;12;1;266;21;6;
16;SOROCABA;31;SOROCABA;35163;SOROCABA;351030 Capela do Alto;57;3;5;205;30;4;286;45;17;548;78;26;
10;PIRACICABA;20;PIRACICABA;35103;PIRACICABA;351040 Capivari;80;15;1;212;30;1;132;41;0;424;86;2;
17;TAUBATÉ;28;CARAGUATATUBA;35173;LITORAL NORTE;351050 Caraguatatuba;329;52;0;881;132;1;1.527;154;1;2.737;338;2;
1;GRANDE SÃO PAULO;10;OSASCO;35014;ROTA DOS BANDEIRANTES;351060 Carapicuíba;113;13;0;299;49;0;1.112;194;1;1.524;256;1;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;351070 Cardoso;348;195;0;129;74;0;7;2;1;484;271;1;
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35143;RIO PARDO;351080 Casa Branca;125;25;0;194;34;0;369;48;0;688;107;0;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35133;VALE DAS CACHOEIRAS;351090 Cássia dos Coqueiros;12;5;0;75;49;0;43;35;1;130;89;1;
2;ARAÇATUBA;11;ARACATUBA;35022;LAGOS DO DRS II;351100 Castilho;72;23;0;91;19;0;105;18;0;268;60;0;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;351110 Catanduva;2.055;1.201;1;2.621;1.668;1;2.634;801;2;7.310;3.670;4;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;351120 Catiguá;83;31;0;105;44;1;71;19;0;259;94;1;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;351130 Cedral;737;342;122;542;277;63;307;79;21;1.586;698;206;
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;351140 Cerqueira César;7;1;1;22;16;2;183;107;63;212;124;66;
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;351150 Cerquilho;56;7;3;176;52;14;613;264;46;845;323;63;
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;351160 Cesário Lange;32;9;4;163;39;1;222;21;0;417;69;5;
10;PIRACICABA;20;PIRACICABA;35103;PIRACICABA;351170 Charqueada;85;8;0;123;16;1;198;26;9;406;50;10;
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;351190 Clementina;107;99;2;96;88;1;10;7;0;213;194;3;
5;BARRETOS;14;BARRETOS;35051;NORTE-BARRETOS;351200 Colina;97;31;2;190;65;3;126;44;0;413;140;5;
5;BARRETOS;14;BARRETOS;35051;NORTE-BARRETOS;351210 Colômbia;21;3;1;19;9;0;50;12;1;90;24;2;
