DRS;DRS_1;GVE;_1;Região de Saúde;Região de Saúde_2;município;Janeiro;Janeiro_4;Janeiro_5;Fevereiro;Fevereiro_6;Fevereiro_7;Março;Março_8;Março_9;Abril;Abril_10;Abril_11;Maio;Maio_12;Maio_13;Junho;Junho_14;Junho_15;Julho;Julho_16;Julho_17;Agosto;Agosto_18;Agosto_19;Setembro;Setembro_20;Setembro_21;Outubro;Outubro_22;Outubro_23;Novembro;Novembro_24;Novembro_25;Dezembro;Dezembro_26;Dezembro_27
;;;;;;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;
;;;;;;;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;CAMPINAS;17;CAMPINAS;35074;CIRCUITO DAS AGUAS;350190 Amparo;24;17;1;135;48;4;256;145;0;571;431;2;1144;1055;3;360;282;1;90;71;0;33;27;0;18;14;0;15;11;0;57;31;0;174;148;1
10;PIRACICABA;20;PIRACICABA;35104;RIO CLARO;350200 Analândia;31;11;1;256;183;4;464;343;1;314;219;2;179;58;0;41;6;0;10;5;0;5;2;0;4;1;0;5;0;0;18;1;0;11;2;0
2;ARAÇATUBA;11;ARACATUBA;35022;LAGOS DO DRS II;350210 Andradina;99;3;0;183;5;0;274;16;0;275;9;0;146;18;0;80;3;0;55;4;0;57;4;0;67;3;0;58;4;0;97;9;0;206;28;0
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;350220 Angatuba;6;0;2;102;16;3;248;90;9;521;214;12;675;366;0;197;67;0;20;2;0;25;5;0;17;0;0;9;0;0;4;1;0;0;0;0
6;BAURU;16;BOTUCATU;35063;POLO CUESTA;350230 Anhembi;11;0;1;46;2;1;70;27;1;72;25;0;93;45;1;66;27;0;20;11;0;46;30;0;58;20;0;20;2;0;20;2;1;14;1;0
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350240 Anhumas;4;0;0;27;2;0;31;1;0;19;4;0;26;9;0;6;2;0;4;0;0;4;0;0;3;0;0;4;1;0;2;0;0;5;1;0
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350250 Aparecida;86;14;4;553;135;3;573;188;1;641;261;1;445;247;1;124;46;0;44;16;0;21;3;0;9;1;0;13;1;0;14;2;0;8;0;0
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35153;JALES;350260 Aparecida d'Oeste;4;0;0;5;0;1;47;3;3;48;3;0;27;14;6;14;5;9;2;0;0;8;3;1;14;5;2;7;2;1;40;22;8;141;90;8
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;350270 Apiaí;13;1;2;24;7;2;107;46;8;232;77;13;210;99;15;27;8;0;1;0;1;1;0;0;6;0;0;1;0;0;6;1;0;9;0;0
16;SOROCABA;31;SOROCABA;35163;SOROCABA;350275 Araçariguama;31;19;5;163;42;6;208;122;2;297;219;2;147;127;0;43;34;0;12;8;1;2;1;0;5;1;0;3;0;0;5;0;1;4;2;0
