DRS;DRS_1;GVE;_1;Região de Saúde;Região de Saúde_2;município;Janeiro;Janeiro_4;Janeiro_5;Fevereiro;Fevereiro_6;Fevereiro_7;Março;Março_8;Março_9;Abril;Abril_10;Abril_11;Maio;Maio_12;Maio_13;Junho;Junho_14;Junho_15;Julho;Julho_16;Julho_17;Agosto;Agosto_18;Agosto_19;Setembro;Setembro_20;Setembro_21;Outubro;Outubro_22;Outubro_23;Novembro;Novembro_24;Novembro_25;Dezembro;Dezembro_26;Dezembro_27
;;;;;;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;
;;;;;;;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;CAMPINAS;17;CAMPINAS;35071;BRAGANÇA;350760 Bragança Paulista;1.065;762;23;2988;2420;62;5661;4257;130;5093;2756;87;2338;1839;50;529;427;21;207;74;4;110;11;0;87;18;0;66;11;0;63;12;0;69;10;0
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;350770 Braúna;3;3;0;7;4;0;0;0;0;2;0;0;2;1;0;3;1;0;3;2;0;4;1;0;2;1;0;0;0;0;6;4;0;2;0;0
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;350775 Brejo Alegre;4;0;0;8;0;0;8;0;0;30;2;0;32;3;0;11;2;0;6;0;0;3;0;0;2;0;0;3;1;0;3;0;0;2;0;0
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35133;VALE DAS CACHOEIRAS;350780 Brodowski;1.072;1.033;5;833;802;4;430;404;1;185;160;3;96;69;0;20;9;0;22;3;0;15;3;0;11;1;0;18;1;0;23;1;0;21;5;0
6;BAURU;15;BAURU;35064;JAU;350790 Brotas;47;29;0;270;155;0;712;423;0;1221;775;4;818;504;0;198;106;0;17;3;0;9;1;0;6;0;0;11;0;0;10;0;0;0;0;0
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;350800 Buri;20;8;0;139;19;1;209;61;2;288;121;2;394;106;4;108;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;350810 Buritama;3;0;0;63;3;1;59;9;0;106;51;1;60;48;0;30;18;0;31;28;0;32;21;0;52;33;0;45;37;0;35;22;1;123;99;0
8;FRANCA;18;FRANCA;35083;ALTA MOGIANA;350820 Buritizal;9;0;1;8;0;0;38;12;0;44;9;0;34;18;0;19;8;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0
6;BAURU;15;BAURU;35062;BAURU;350830 Cabrália Paulista;6;1;0;28;0;8;15;1;3;42;7;16;90;59;3;33;17;0;13;7;0;6;4;0;2;0;0;9;0;0;2;0;0;4;2;0
7;CAMPINAS;17;CAMPINAS;35073;JUNDIAÍ;350840 Cabreúva;28;14;0;324;178;0;373;183;2;412;257;1;430;304;0;112;69;3;17;8;0;2;1;0;17;4;0;4;0;0;2;0;0;5;3;0
17;TAUBATÉ;27;SAO JOSE DOS CAMPOS;35171;ALTO VALE DO PARAÍBA;350850 Caçapava;315;21;6;1193;171;12;3561;1406;10;5675;2726;14;4986;3103;15;1391;428;3;399;68;0;270;65;2;293;123;2;305;146;3;286;160;1;240;115;1
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350860 Cachoeira Paulista;81;18;0;146;90;3;583;554;8;588;557;2;322;279;23;109;91;10;51;43;0;41;39;0;25;18;0;16;0;0;12;2;0;8;2;0
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35143;RIO PARDO;350870 Caconde;12;2;1;87;12;1;365;206;2;738;448;1;824;474;0;245;125;0;41;13;0;19;3;0;35;8;0;15;6;0;19;11;0;19;2;0
6;BAURU;15;BAURU;35065;LINS;350880 Cafelândia;12;3;0;126;34;0;187;102;1;134;110;0;88;66;0;22;18;0;9;5;0;4;3;0;7;7;0;6;2;0;7;5;0;20;13;0
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350890 Caiabu;1;0;0;20;3;4;74;27;12;53;33;2;20;15;0;1;0;0;4;0;0;0;0;0;3;0;0;3;0;2;0;0;0;0;0;0
1;GRANDE SÃO PAULO;9;FRANCO DA ROCHA;35012;FRANCO DA ROCHA;350900 Caieiras;211;120;1;1280;510;7;2295;1135;6;1739;970;8;1068;627;3;149;60;0;29;9;0;9;3;0;17;5;0;14;3;0;15;5;0;2;0;0
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35114;EXTREMO OESTE PAULISTA;350910 Caiuá;2;0;0;7;1;0;9;1;0;4;0;0;7;1;0;2;1;0;2;0;0;0;0;0;1;0;0;5;0;0;3;0;0;3;0;0
1;GRANDE SÃO PAULO;9;FRANCO DA ROCHA;35012;FRANCO DA ROCHA;350920 Cajamar;219;12;26;1165;78;134;2911;310;535;2189;230;478;672;141;90;173;22;7;118;2;2;85;0;2;85;0;1;49;1;0;38;1;0;50;0;1
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;350925 Cajati;8;6;0;42;20;0;87;30;1;145;85;3;781;721;7;21;16;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;BARRETOS;14;BARRETOS;35051;NORTE-BARRETOS;350930 Cajobi;13;2;0;14;1;0;32;10;0;30;11;0;36;21;0;26;20;0;9;4;0;7;3;1;2;0;0;0;0;0;6;3;0;8;5;0
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35133;VALE DAS CACHOEIRAS;350940 Cajuru;9;8;0;20;15;0;37;31;0;140;125;1;46;43;0;46;37;2;9;6;0;4;0;0;4;0;0;6;1;0;30;26;0;47;40;0
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;350945 Campina do Monte Alegre;1;0;0;19;13;0;89;62;2;251;243;0;342;337;2;58;57;0;12;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;350950 Campinas;4.687;3.973;8;13798;12319;10;32001;28156;18;38702;33354;32;34168;29073;32;11940;9500;12;3096;1988;1;2240;960;1;2008;755;0;1611;586;1;1521;466;1;1577;343;1
7;CAMPINAS;17;CAMPINAS;35073;JUNDIAÍ;350960 Campo Limpo Paulista;38;24;0;310;107;1;567;220;1;1034;539;7;498;361;0;105;74;0;42;10;0;11;3;0;5;4;0;0;0;0;13;0;0;16;4;0
17;TAUBATÉ;33;TAUBATE;35174;V. PARAÍBA-REG. SERRANA;350970 Campos do Jordão;21;0;6;122;0;26;198;0;45;195;1;41;114;0;17;37;0;3;9;0;0;15;0;0;3;0;0;8;0;0;7;0;0;2;0;0
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;350980 Campos Novos Paulista;0;0;0;27;1;2;22;3;0;28;15;0;66;40;0;24;14;0;17;8;0;5;4;0;7;1;0;3;0;0;11;7;0;75;36;0
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;350990 Cananéia;13;1;0;88;16;0;558;288;1;974;624;1;653;475;0;80;64;1;4;3;0;4;1;0;4;0;0;1;0;0;0;0;0;0;0;0
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350995 Canas;9;0;0;69;18;5;138;47;27;126;78;31;108;35;56;10;0;5;3;0;0;1;0;0;2;1;0;1;0;0;2;1;0;5;1;0
9;MARÍLIA;13;ASSIS;35092;ASSIS;351000 Cândido Mota;78;34;2;215;118;10;397;262;0;568;397;1;714;497;0;252;166;0;105;71;0;69;44;0;41;19;0;36;19;0;52;27;0;107;64;0
3;ARARAQUARA;12;ARARAQUARA;35033;NOROESTE DRS III;351010 Cândido Rodrigues;3;1;0;9;4;0;4;0;0;10;6;0;15;13;0;46;40;0;21;14;0;3;0;0;2;2;0;2;0;0;0;0;0;4;1;1
9;MARÍLIA;13;ASSIS;35094;OURINHOS;351015 Canitar;4;0;1;61;7;1;67;8;0;95;24;0;133;39;1;71;15;0;2;0;0;2;0;0;2;0;0;5;0;0;0;0;0;0;0;0
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;351020 Capão Bonito;21;0;1;108;7;3;154;32;3;278;132;9;445;253;4;210;85;1;43;13;0;10;1;0;7;0;0;5;1;0;9;0;0;11;0;0
16;SOROCABA;31;SOROCABA;35163;SOROCABA;351030 Capela do Alto;36;2;1;271;37;2;603;181;8;985;475;0;1097;695;0;571;180;0;125;36;0;117;13;0;77;7;1;33;6;0;52;10;0;48;2;1
10;PIRACICABA;20;PIRACICABA;35103;PIRACICABA;351040 Capivari;227;101;1;912;418;6;1432;841;4;1616;992;1;108;60;1;88;31;0;12;1;0;5;0;0;3;1;0;2;0;0;1;0;0;5;2;0
17;TAUBATÉ;28;CARAGUATATUBA;35173;LITORAL NORTE;351050 Caraguatatuba;967;116;0;2617;535;0;4290;2417;19;6830;4029;39;5792;3674;24;2187;1291;8;853;396;3;386;144;0;371;179;2;330;132;2;487;139;0;305;118;0
1;GRANDE SÃO PAULO;10;OSASCO;35014;ROTA DOS BANDEIRANTES;351060 Carapicuíba;114;16;1;1287;116;1;3230;772;1;5947;2181;1;5540;2617;2;523;166;0;124;34;0;73;21;0;60;7;0;44;11;0;48;10;0;60;15;0
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;351070 Cardoso;22;8;0;60;12;0;93;24;0;171;62;0;256;165;0;165;90;0;61;34;0;32;14;0;30;7;0;15;5;0;31;12;0;69;33;0
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35143;RIO PARDO;351080 Casa Branca;147;62;0;562;183;0;970;465;8;853;471;4;616;281;3;184;106;2;55;29;0;16;8;0;39;20;0;69;27;0;54;17;0;62;20;0
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35133;VALE DAS CACHOEIRAS;351090 Cássia dos Coqueiros;2;1;1;12;2;0;62;34;0;91;50;2;111;55;0;23;13;0;7;0;0;1;0;0;1;0;0;8;0;0;1;0;0;0;0;0
2;ARAÇATUBA;11;ARACATUBA;35022;LAGOS DO DRS II;351100 Castilho;28;6;0;75;14;1;86;3;0;64;4;0;53;11;0;39;19;1;16;3;0;19;3;0;14;1;0;18;0;0;32;5;0;36;4;1
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;351110 Catanduva;574;268;1;1442;683;1;1983;1041;0;2392;1409;4;2816;1778;2;1346;727;3;611;376;0;454;222;0;485;143;0;471;200;0;421;206;1;689;160;0
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;351120 Catiguá;74;26;0;209;94;0;269;128;0;209;128;0;110;56;0;32;11;0;18;0;0;10;0;0;9;0;0;16;2;0;19;0;0;11;2;0
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;351130 Cedral;55;9;0;82;9;2;133;32;9;140;53;6;183;86;18;106;45;9;97;42;6;59;23;4;37;11;6;77;35;4;109;36;13;273;22;1
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;351140 Cerqueira César;6;0;2;45;12;9;68;29;2;51;47;1;78;75;2;26;25;0;4;4;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;351150 Cerquilho;32;2;5;142;20;8;232;85;16;498;221;40;989;574;79;533;176;36;86;19;6;56;15;0;52;2;2;30;3;0;22;1;0;13;1;1
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;351160 Cesário Lange;12;2;1;108;7;1;207;65;3;564;271;0;797;509;3;312;161;0;54;25;0;13;4;0;8;2;0;12;0;0;5;0;0;7;0;0
10;PIRACICABA;20;PIRACICABA;35103;PIRACICABA;351170 Charqueada;62;4;5;195;53;2;295;111;12;803;337;26;800;379;38;342;116;8;102;22;4;37;5;1;41;3;0;34;2;1;27;6;0;28;2;0
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;351190 Clementina;2;1;0;6;2;0;8;4;0;5;3;0;9;7;0;8;6;1;3;1;0;8;6;0;9;4;1;2;1;0;7;3;0;10;8;0
5;BARRETOS;14;BARRETOS;35051;NORTE-BARRETOS;351200 Colina;297;178;1;262;137;1;373;227;1;352;265;0;281;180;0;151;33;0;53;19;0;5;2;0;16;4;2;7;1;0;8;2;2;13;6;0
5;BARRETOS;14;BARRETOS;35051;NORTE-BARRETOS;351210 Colômbia;3;2;0;18;5;0;20;4;0;25;6;2;22;6;0;10;3;0;6;3;0;1;0;0;3;0;0;1;0;0;1;0;0;4;0;0
10;PIRACICABA;20;PIRACICABA;35101;ARARAS;351220 Conchal;15;3;0;107;4;0;121;17;0;143;22;1;124;24;1;74;17;0;64;7;0;25;5;0;11;1;0;10;1;0;17;1;0;5;2;0
6;BAURU;16;BOTUCATU;35063;POLO CUESTA;351230 Conchas;23;3;1;125;13;2;189;33;1;177;61;2;252;103;1;174;55;0;52;14;0;53;17;0;42;7;0;40;5;0;35;25;0;193;136;2
10;PIRACICABA;20;PIRACICABA;35102;LIMEIRA;351240 Cordeirópolis;42;7;3;175;14;5;413;50;10;517;165;3;639;373;5;755;305;1;397;154;0;231;24;0;54;3;0;14;5;0;11;2;0;10;1;0
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;351250 Coroados;13;2;0;43;5;0;40;5;0;83;13;2;34;8;0;28;5;0;9;0;0;7;3;0;23;10;0;29;7;0;72;28;1;99;40;0
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;351260 Coronel Macedo;6;4;0;58;29;1;82;59;1;132;93;4;118;74;6;47;10;0;6;2;0;1;0;0;2;0;0;1;0;0;1;0;0;2;0;0
10;PIRACICABA;20;PIRACICABA;35104;RIO CLARO;351270 Corumbataí;1;0;0;9;0;0;24;8;0;36;20;4;50;29;0;11;4;0;0;0;0;2;1;0;3;0;0;0;0;0;2;0;0;1;0;0
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;351280 Cosmópolis;59;22;1;516;138;17;1034;299;43;1271;411;139;1577;655;145;806;263;46;301;86;0;186;34;0;143;12;5;113;12;1;105;9;0;131;21;0
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;351290 Cosmorama;23;4;0;66;9;0;40;13;0;54;20;0;78;57;0;51;15;11;47;39;0;33;19;0;18;7;0;10;2;0;11;1;0;14;7;0
1;GRANDE SÃO PAULO;10;OSASCO;35013;MANANCIAIS;351300 Cotia;454;188;7;1954;712;42;4037;1292;26;3474;1354;7;2642;1192;6;1126;312;1;308;48;0;198;13;0;174;7;0;117;3;0;98;8;0;118;6;0
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35132;AQUÍFERO GUARANI;351310 Cravinhos;531;325;2;1021;478;0;1122;558;0;907;397;0;398;188;1;79;37;0;21;8;0;20;2;0;16;3;0;11;0;0;20;0;0;20;2;0
8;FRANCA;18;FRANCA;35081;TRÊS COLINAS;351320 Cristais Paulista;63;41;1;75;55;3;166;140;2;82;62;0;56;51;0;9;6;0;2;1;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0
9;MARÍLIA;13;ASSIS;35092;ASSIS;351330 Cruzália;10;1;0;18;7;0;16;9;0;25;18;0;56;54;0;38;36;0;11;7;0;2;2;0;0;0;0;0;0;0;1;0;0;1;1;0
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;351340 Cruzeiro;71;23;0;295;102;0;812;314;0;680;218;0;244;119;6;130;26;1;47;10;0;16;4;0;14;2;0;31;3;0;46;2;0;34;1;0
4;BAIXADA SANTISTA;25;SANTOS;35041;BAIXADA SANTISTA;351350 Cubatão;95;8;0;254;22;0;336;29;1;371;46;1;358;70;0;236;79;1;161;42;0;105;16;0;61;7;0;46;6;0;56;5;0;42;9;0
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;351360 Cunha;31;5;5;176;28;15;280;75;36;335;118;37;392;156;50;158;28;6;43;8;1;16;0;0;6;0;0;4;0;1;9;0;0;10;0;0
3;ARARAQUARA;12;ARARAQUARA;35032;CORAÇÃO DO DRS III;351370 Descalvado;20;2;1;138;55;0;414;310;0;599;514;5;847;743;3;795;632;1;208;137;1;18;12;1;31;14;0;52;25;2;60;43;0;87;70;1
1;GRANDE SÃO PAULO;7;SANTO ANDRE;35015;GRANDE ABC;351380 Diadema;232;123;14;1490;837;27;3099;2141;79;3318;2588;63;3812;3129;48;1043;863;9;305;240;6;122;95;1;97;80;0;95;71;0;70;60;1;104;37;1
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35153;JALES;351385 Dirce Reis;5;1;0;14;6;1;8;3;0;13;5;0;13;7;0;7;3;0;2;0;0;6;5;0;21;13;1;51;35;1;119;81;0;120;43;0
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35143;RIO PARDO;351390 Divinolândia;1;0;0;13;1;2;39;18;9;99;37;28;109;64;9;28;9;1;4;0;0;3;0;0;1;0;0;3;0;1;0;0;0;2;0;0
3;ARARAQUARA;12;ARARAQUARA;35033;NOROESTE DRS III;351400 Dobrada;8;0;0;37;10;2;62;14;3;79;33;1;133;65;0;37;11;0;17;8;0;16;5;0;8;3;0;8;4;0;13;1;0;18;6;0
6;BAURU;15;BAURU;35064;JAU;351410 Dois Córregos;757;675;0;1151;1053;6;1607;1354;6;1025;791;2;706;378;3;191;40;0;39;7;1;28;6;0;27;2;0;3;0;0;10;0;0;7;0;0
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35153;JALES;351420 Dolcinópolis;1;0;0;9;1;0;14;2;0;9;0;0;7;2;0;3;0;0;4;2;0;8;1;0;16;3;0;28;6;0;65;20;0;49;10;0
3;ARARAQUARA;12;ARARAQUARA;35032;CORAÇÃO DO DRS III;351430 Dourado;8;0;0;71;7;0;92;21;0;132;33;0;196;54;2;112;28;1;48;4;0;20;0;0;13;0;1;7;0;0;8;0;0;2;0;0
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35111;ALTA PAULISTA;351440 Dracena;103;10;1;412;40;0;408;22;0;302;23;0;203;13;1;175;12;0;89;3;0;79;8;0;121;3;0;87;2;0;63;3;0;48;4;0
6;BAURU;15;BAURU;35062;BAURU;351450 Duartina;6;1;1;39;4;2;45;16;1;62;37;0;67;50;1;26;24;0;7;6;0;2;1;0;1;0;0;0;0;0;1;0;0;2;0;0
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35131;HORIZONTE VERDE;351460 Dumont;125;75;0;399;252;3;538;405;3;297;203;1;112;80;1;36;17;0;10;4;0;13;2;0;11;2;0;18;4;0;11;0;0;26;7;1
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;351470 Echaporã;8;3;0;51;12;2;75;11;0;61;12;0;20;14;0;3;2;0;2;1;0;2;2;0;3;0;0;2;0;0;0;0;0;2;1;0
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;351480 Eldorado;3;1;0;117;38;0;339;145;3;627;294;0;229;59;2;4;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
10;PIRACICABA;20;PIRACICABA;35103;PIRACICABA;351490 Elias Fausto;27;5;3;112;42;3;167;53;1;350;138;2;609;321;2;329;127;1;69;17;0;56;22;0;38;9;0;41;18;0;55;25;1;220;119;1
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;351492 Elisiário;11;6;0;71;51;0;122;97;0;96;70;1;71;53;0;10;5;0;3;0;0;4;1;0;5;0;0;6;0;0;10;1;0;4;1;0
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;351495 Embaúba;12;7;0;16;6;0;29;12;0;38;17;0;61;44;0;21;12;1;3;2;0;1;0;0;0;0;0;1;0;0;4;2;0;2;0;0
1;GRANDE SÃO PAULO;10;OSASCO;35013;MANANCIAIS;351500 Embu das Artes;402;73;10;3052;387;41;3355;1131;51;2462;1162;74;2466;844;49;808;202;3;252;31;0;131;12;0;88;8;0;69;6;0;24;4;0;42;3;0
1;GRANDE SÃO PAULO;10;OSASCO;35013;MANANCIAIS;351510 Embu-Guaçu;28;19;0;160;92;0;824;403;3;882;638;2;372;256;1;113;64;0;28;13;0;10;3;0;17;4;0;12;1;0;13;2;0;16;0;0
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;351512 Emilianópolis;1;0;0;4;1;1;5;0;0;7;0;2;2;1;0;3;3;0;0;0;0;1;0;1;0;0;0;1;0;0;5;1;1;7;4;2
10;PIRACICABA;20;PIRACICABA;35102;LIMEIRA;351515 Engenheiro Coelho;44;3;0;142;19;0;217;41;3;477;198;2;665;311;2;182;61;0;60;18;0;40;5;0;27;3;0;9;0;0;12;1;0;22;9;0
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35142;MANTIQUEIRA;351518 Espírito Santo do Pinhal;113;37;1;1054;281;0;2248;979;1;3409;1484;1;2353;1020;1;723;216;0;271;80;0;230;40;0;291;38;0;88;7;0;64;2;0;90;7;0
9;MARÍLIA;13;ASSIS;35094;OURINHOS;351519 Espírito Santo do Turvo;5;1;1;20;1;0;40;8;2;107;33;5;146;41;13;70;8;1;14;2;0;2;1;0;3;0;0;0;0;0;0;0;0;1;0;0
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35154;FERNANDÓPOLIS;351520 Estrela d'Oeste;25;2;0;34;2;0;61;7;0;58;22;0;99;76;0;105;99;0;115;79;1;68;54;0;40;30;0;83;76;1;159;146;2;291;282;0
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;351530 Estrela do Norte;14;1;1;36;6;0;30;3;1;13;0;0;10;1;0;7;1;0;3;0;0;5;1;0;6;3;0;0;0;0;3;0;0;0;0;0
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35115;PONTAL DO PARANAPANEMA;351535 Euclides da Cunha Paulista;2;0;0;11;3;0;12;3;0;11;2;0;2;0;0;3;1;0;3;0;0;1;0;0;1;0;0;8;2;0;6;1;1;0;0;0
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;351540 Fartura;4;2;1;75;28;2;378;227;2;852;605;2;810;631;0;99;70;0;8;8;0;2;1;0;0;0;0;1;1;0;0;0;0;4;1;0
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35154;FERNANDÓPOLIS;351550 Fernandópolis;76;24;0;258;63;0;309;123;0;476;255;3;612;568;2;335;304;0;272;194;0;234;108;0;147;109;0;240;224;3;267;238;0;786;692;5
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;351560 Fernando Prestes;9;1;0;42;5;0;30;3;1;47;22;0;88;60;0;41;31;0;20;17;0;3;0;0;3;0;0;1;0;0;12;0;0;7;3;1
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;351565 Fernão;3;0;1;12;1;0;18;10;0;11;6;0;6;6;0;1;0;0;2;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;1;0
1;GRANDE SÃO PAULO;8;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;351570 Ferraz de Vasconcelos;256;135;1;1300;655;15;3485;2128;92;3461;2858;163;2394;2046;102;598;454;7;129;78;0;90;30;0;70;10;1;74;11;0;38;2;0;37;6;0
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35111;ALTA PAULISTA;351580 Flora Rica;0;0;0;0;0;0;0;0;0;11;6;0;3;3;0;1;0;0;1;0;0;0;0;0;4;4;0;1;0;0;0;0;0;0;0;0
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;351590 Floreal;3;0;0;9;0;0;14;0;0;10;1;0;15;1;2;4;1;0;12;5;1;5;0;0;3;0;0;3;1;0;4;1;0;15;8;0
9;MARÍLIA;19;MARILIA;35091;ADAMANTINA ;351600 Flórida Paulista;5;2;0;34;13;0;17;9;0;12;3;0;15;3;0;8;2;0;2;0;0;2;1;0;11;8;0;4;3;0;16;9;0;25;19;0
9;MARÍLIA;13;ASSIS;35092;ASSIS;351610 Florínea;14;1;1;49;11;1;108;31;0;153;49;0;149;67;0;90;49;0;20;4;0;10;5;0;5;2;0;1;0;0;0;0;0;2;0;0
8;FRANCA;18;FRANCA;35081;TRÊS COLINAS;351620 Franca;1.455;730;2;3890;2520;7;4705;3567;11;1046;780;6;845;681;0;990;548;0;241;114;0;237;13;0;264;6;0;300;9;0;351;4;0;418;6;0
1;GRANDE SÃO PAULO;9;FRANCO DA ROCHA;35012;FRANCO DA ROCHA;351630 Francisco Morato;183;134;1;833;400;6;1286;797;9;1818;1367;8;987;757;1;122;94;0;64;50;0;30;14;0;20;6;0;11;5;0;10;0;0;6;1;0
1;GRANDE SÃO PAULO;9;FRANCO DA ROCHA;35012;FRANCO DA ROCHA;351640 Franco da Rocha;1.192;902;5;3036;2306;30;6467;4542;44;5157;3366;46;3627;2259;18;599;302;5;129;73;0;133;65;1;208;99;8;148;56;1;92;27;0;61;16;0
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;351650 Gabriel Monteiro;3;0;0;5;0;0;3;0;0;1;0;1;5;1;4;2;0;1;1;0;1;1;0;0;2;0;0;2;2;0;5;0;1;23;15;0
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;351660 Gália;1;0;0;7;1;0;28;6;1;79;44;1;78;60;0;16;9;0;4;2;0;1;1;0;1;1;0;0;0;0;8;0;0;9;0;0
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;351670 Garça;107;30;0;314;99;0;541;246;10;723;361;26;1011;620;43;487;257;19;199;83;10;96;31;3;121;20;1;63;15;1;100;28;1;92;26;1
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;351680 Gastão Vidigal;3;1;0;13;3;0;35;1;0;9;1;0;5;2;0;2;0;0;1;1;0;1;0;0;3;0;0;2;0;0;8;1;0;18;8;0
3;ARARAQUARA;12;ARARAQUARA;35031;CENTRAL DO DRS III;351685 Gavião Peixoto;9;2;2;48;3;7;77;31;5;107;68;7;187;111;3;72;28;0;21;7;2;1;1;0;4;0;0;9;1;3;4;1;0;4;0;0
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;351690 General Salgado;17;0;0;27;1;1;24;2;0;30;12;1;35;23;0;42;25;1;24;16;0;11;5;0;26;10;0;19;6;0;41;17;0;158;81;1
6;BAURU;15;BAURU;35065;LINS;351700 Getulina;238;204;3;107;102;2;67;64;1;28;27;0;20;18;0;1;1;0;3;0;3;5;3;1;12;9;0;6;5;0;2;0;0;1;1;0
